message,severity,attributes,tags,timestamp
[2026-07-03T23:05:11.510Z] live=3 tracked=1 updated=0 api_calls=1 total_calls=39 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:05:16.261384861Z
[2026-07-03T23:05:26.612Z] live=3 tracked=1 updated=0 api_calls=1 total_calls=40 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:05:36.316141815Z
[2026-07-03T23:05:41.724Z] live=3 tracked=1 updated=0 api_calls=1 total_calls=41 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:05:41.762409604Z
  [details] fixture=1565179 events=1 lineups=0,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:06:01.789258067Z
[2026-07-03T23:05:56.895Z] live=3 tracked=1 updated=0 api_calls=2 total_calls=43 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:06:01.789260417Z
[2026-07-03T23:06:12.009Z] live=3 tracked=1 updated=0 api_calls=1 total_calls=44 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:06:21.732626337Z
  [details] fixture=1565179 events=1 lineups=0,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:06:27.331540451Z
"  error: undefined,",error,"{""level"":""error""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:06:27.556037417Z
"  status: 400,",error,"{""level"":""error""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:06:27.556045107Z
  body: 'auth_key should be a valid app key\n',error,"{""level"":""error""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:06:27.556051167Z
},error,"{""level"":""error""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:06:27.556056797Z
"  [delta] fixture=1565179 changes=[statusCode,minute] score=1-0 status=2H min=46",info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:06:27.556062507Z
  [pusher] Failed to trigger for fixture=1565179: Error,error,"{""level"":""error""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:06:27.556067907Z
[2026-07-03T23:06:27.552Z] live=3 tracked=1 updated=1 api_calls=2 total_calls=46 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:06:27.556069177Z
    at new RequestError (/app/node_modules/.pnpm/pusher@5.3.3/node_modules/pusher/lib/errors.js:13:16),error,"{""level"":""error""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:06:27.556080017Z
